sector,market_cap,country,industry,p_e,n,volume,price,ticker,company,change
Basic Materials,10.76B,USA,Oil & Gas Drilling & Exploration,20.57,1479,"2,506,202",95.25,CXO,"Concho Resources, Inc.",-15.07%
Financial,3.15B,USA,REIT - Office,45.00,1480,"411,631",25.20,CXP,"Columbia Property Trust, Inc.",-0.59%
Financial,-,USA,Exchange Traded Fund,-,1484,"2,733",25.45,CYB,WisdomTree Chinese Yuan Strategy ETF,-0.08%
Technology,60.09M,USA,Scientific & Technical Instruments,-,1485,"13,074",9.05,CYBE,CyberOptics Corp.,-3.21%
Technology,1.26B,Israel,Business Software & Services,-,1486,"610,430",41.32,CYBR,Cyber-Ark Software Ltd.,-4.26%
Healthcare,1.40B,USA,Medical Appliances & Equipment,24.32,1487,"165,717",53.25,CYBX,Cyberonics Inc.,-0.93%
Healthcare,68.02M,USA,Biotechnology,-,1488,"18,038",2.96,CYCC,"Cyclacel Pharmaceuticals, Inc.",-1.66%
Industrial Goods,656.87M,Singapore,Diversified Machinery,5.57,1489,"31,822",17.20,CYD,China Yuchai International Limited,-1.71%
Healthcare,5.48B,USA,Hospitals,123.89,1490,"762,072",47.08,CYH,"Community Health Systems, Inc.",-0.40%
Financial,4.25B,USA,Money Center Banks,18.83,1491,"102,861",77.19,CYN,City National Corporation,-1.67%
Technology,119.29M,USA,Communication Equipment,-,1492,"69,714",2.53,CYNI,"Cyan, Inc.",-3.07%
Healthcare,596.89M,USA,Medical Appliances & Equipment,38.83,1493,"116,271",27.57,CYNO,"Cynosure, Inc.",-0.47%
Technology,1.23B,China,Multimedia & Graphics Software,10.00,1494,"51,259",23.20,CYOU,Changyou.com Limited,-0.77%
Technology,40.63M,Israel,Security Software & Services,-,1495,"21,571",1.54,CYRN,CYREN Ltd.,-0.65%
Financial,1.50B,USA,REIT - Diversified,7.38,1496,"875,557",9.23,CYS,"CYS Investments, Inc.",-0.11%
Basic Materials,3.47B,USA,Specialty Chemicals,15.52,1497,"207,204",48.10,CYT,Cytec Industries Inc.,-2.12%
Healthcare,171.02M,USA,Biotechnology,-,1498,"469,110",4.67,CYTK,"Cytokinetics, Incorporated",1.74%
Healthcare,139.88M,USA,Biotechnology,-,1499,"175,990",2.51,CYTR,CytRx Corporation,-1.57%
Healthcare,39.78M,USA,Biotechnology,-,1500,"609,186",0.43,CYTX,"Cytori Therapeutics, Inc.",-1.80%
Financial,-,USA,Exchange Traded Fund,-,1501,"1,075",49.79,CZA,Guggenheim Mid-Cap Core ETF,-0.84%
Financial,22.75M,USA,Regional - Southeast Banks,9.71,1502,0,11.55,CZFC,Citizens First Corporation,0.00%
Services,182.07M,USA,Restaurants,25.76,1521,"13,688",25.50,DAVE,Famous Dave's of America Inc.,-1.81%
Financial,44.97B,Germany,Foreign Regional Banks,-,1522,"1,230,109",32.65,DB,Deutsche Bank AG,-0.70%
Financial,239.29M,USA,Regional - Mid-Atlantic Banks,14.32,1503,"15,624",19.47,CZNC,Citizens & Northern Corp.,-0.36%
Services,2.45B,USA,Resorts & Casinos,-,1504,"616,579",16.96,CZR,Caesars Entertainment Corporation,-0.99%
Financial,48.40M,USA,Regional - Midwest Banks,27.59,1505,107,9.38,CZWI,"Citizens Community Bancorp, Inc.",0.21%
Utilities,2.48B,Brazil,Diversified Utilities,10.52,1506,"1,011,019",9.15,CZZ,Cosan Ltd.,-6.63%
Utilities,42.36B,USA,Electric Utilities,28.23,1507,"1,268,461",72.55,D,"Dominion Resources, Inc.",0.03%
Services,629.45M,Greece,Shipping,21.26,1508,"3,316",5.74,DAC,Danaos Corporation,-2.38%
Technology,14.13M,USA,Application Software,-,1509,"3,313",0.86,DAEG,Daegis Inc.,0.00%
Financial,-,USA,Exchange Traded Fund,-,1510,"4,225",5.70,DAG,PowerShares DB Agriculture Dble Long ETN,0.88%
Technology,28.96M,USA,Diversified Electronics,-,1511,"4,340",3.68,DAIO,Data I/O Corp.,4.25%
Basic Materials,79.41M,USA,Oil & Gas Pipelines,-,1512,"45,025",1.45,DAKP,"Dakota Plains Holdings, Inc.",-7.85%
Technology,516.45M,USA,Computer Based Systems,20.57,1513,"171,246",11.93,DAKT,Daktronics Inc.,-1.65%
Services,39.06B,USA,Major Airlines,4.06,1514,"16,204,556",46.67,DAL,"Delta Air Lines, Inc.",5.49%
Consumer Goods,3.59B,USA,Auto Parts,14.23,1515,"851,961",21.20,DAN,Dana Holding Corporation,-0.52%
Services,894.85M,China,Catalog & Mail Order Houses,221.80,1516,"1,355,184",11.09,DANG,E-Commerce China Dangdang Inc.,-2.38%
Industrial Goods,3.06B,USA,Waste Management,132.86,1517,"654,451",18.60,DAR,Darling Ingredients Inc.,-1.85%
Financial,-,USA,Exchange Traded Fund,-,1523,"216,587",25.54,DBA,PowerShares DB Agriculture ETF,-0.85%
Financial,-,USA,Exchange Traded Fund,-,1524,0,27.47,DBAP,Deutsche X-trackers MSCIAsPac exJpn H Eq,0.00%
Financial,-,USA,Exchange Traded Fund,-,1525,0,26.81,DBAW,Deutsche X-trackers MSCIAllWld exUS H Eq,0.00%
Financial,-,USA,Exchange Traded Fund,-,1526,"93,205",16.53,DBB,PowerShares DB Base Metals ETF,-2.71%
Financial,-,USA,Exchange Traded Fund,-,1527,"1,280",14.67,DBBR,Deutsche X-trackers MSCI Brazil Hdgd Eq,-0.34%
Financial,-,USA,Exchange Traded Fund,-,1528,"903,146",20.42,DBC,PowerShares DB Commodity Tracking ETF,-4.58%
Technology,2.34B,USA,Diversified Computer Systems,56.53,1529,"131,451",36.18,DBD,"Diebold, Incorporated",-0.50%
Financial,-,USA,Exchange Traded Fund,-,1530,"127,386",20.96,DBE,PowerShares DB Energy ETF,-7.01%
Financial,-,USA,Exchange Traded Fund,-,1531,"197,058",28.61,DBEF,Deutsche X-trackers MSCI EAFE Hedged Eq,-0.14%
Financial,-,USA,Exchange Traded Fund,-,1532,"5,862",22.61,DBEM,Deutsche X-trackers MSCI Em Mkts Hdgd Eq,-0.71%
Financial,-,USA,Exchange Traded Fund,-,1533,"118,475",27.70,DBEU,Deutsche X-trackers MSCI Europe Hdgd Eq,-0.07%
Financial,-,USA,Exchange Traded Fund,-,1534,"4,506",26.25,DBGR,Deutsche X-trackers MSCI Germany Hdgd Eq,0.34%
Financial,-,USA,Exchange Traded Fund,-,1535,0,26.67,DBIZ,AdvisorShares Pring Turner Bus Cycle ETF,0.00%
Financial,-,USA,Exchange Traded Fund,-,1536,"42,799",41.04,DBJP,Deutsche X-trackers MSCI Japan Hedged Eq,0.20%
Financial,-,USA,Exchange Traded Fund,-,1537,217,24.06,DBKO,Deutsche X-trackers MSCI South Kor H Eq,0.54%
Financial,-,USA,Exchange Traded Fund,-,1538,0,25.97,DBMX,Deutsche X-trackers MSCI Mexico Hdgd Eq,0.00%
Healthcare,15.35M,USA,Biotechnology,-,1518,"61,555",0.78,DARA,"DARA BioSciences, Inc",0.10%
Technology,5.82B,USA,Application Software,-,1519,"382,359",83.88,DATA,"Tableau Software, Inc.",0.02%
Technology,157.89M,China,Internet Information Providers,21.95,1520,"32,338",4.83,DATE,Jiayuan.com International Ltd.,-0.62%
Financial,-,USA,Exchange Traded Fund,-,1539,"640,120",20.03,DBO,PowerShares DB Oil ETF,-8.71%
Financial,-,USA,Exchange Traded Fund,-,1540,"7,266",36.03,DBP,PowerShares DB Precious Metals ETF,-3.69%
Financial,-,USA,Exchange Traded Fund,-,1541,"3,968",24.92,DBS,PowerShares DB Silver ETF,-7.22%
Financial,-,USA,Exchange Traded Fund,-,1542,501,19.13,DBU,WisdomTree Global ex-US Utilities ETF,-0.93%
Financial,-,USA,Exchange Traded Fund,-,1543,0,26.79,DBUK,Deutsche X-trackers MSCI UK Hdgd Eq,0.00%
Financial,-,USA,Exchange Traded Fund,-,1544,"3,386",25.75,DBV,PowerShares DB G10 Currency Harvest ETF,-0.62%
Financial,-,USA,Closed-End Fund - Equity,-,1545,"44,913",4.73,DCA,Virtus Total Return Fund,1.07%
Industrial Goods,5.40B,USA,Diversified Machinery,22.16,1546,"300,711",39.00,DCI,"Donaldson Company, Inc.",-1.91%
Services,163.19M,Greece,Shipping,-,1547,"67,697",2.23,DCIX,Diana Containerships Inc.,-3.04%
Technology,67.87B,Japan,Diversified Communication Services,17.15,1548,"63,779",15.61,DCM,"NTT DOCOMO, Inc.",-0.83%
Financial,-,USA,Exchange Traded Fund,-,1549,0,26.01,DCNG,iPath Seasonal Natural Gas ETN,0.00%
Industrial Goods,272.65M,USA,Aerospace/Defense Products & Services,30.37,1550,"23,164",24.90,DCO,Ducommun Inc.,-0.95%
Financial,558.28M,USA,Savings & Loans,12.84,1551,"44,592",15.15,DCOM,Dime Community Bancshares Inc.,-1.62%
Financial,3.02B,USA,REIT - Industrial,341.30,1552,"665,773",34.13,DCT,DCT Industrial Trust Inc.,-0.32%
Healthcare,12.05M,USA,Drug Delivery,-,1553,"26,711",1.24,DCTH,"Delcath Systems, Inc.",-1.59%
Basic Materials,64.68B,USA,Agricultural Chemicals,21.25,1554,"2,134,202",71.40,DD,E. I. du Pont de Nemours and Company,-0.10%
Basic Materials,1.38B,Canada,Nonmetallic Mineral Mining,43.70,1555,"304,873",16.17,DDC,Dominion Diamond Corporation,-0.37%
Technology,3.92B,USA,Computer Peripherals,176.40,1556,"1,429,890",35.28,DDD,3D Systems Corporation,-1.92%
Services,25.77M,USA,Gaming Activities,-,1557,"19,224",0.79,DDE,Dover Downs Gaming & Entertainment Inc.,3.57%
Financial,-,USA,Closed-End Fund - Equity,-,1558,"10,747",10.05,DDF,"Delaware Investments Dividend & Income Fund, Inc.",-0.40%
Financial,-,USA,Exchange Traded Fund,-,1559,"9,550",26.36,DDG,ProShares Short Oil & Gas,7.35%
Financial,-,USA,Exchange Traded Fund,-,1560,"124,857",135.20,DDM,ProShares Ultra Dow30,0.10%
Financial,-,USA,Exchange Traded Fund,-,1561,154,37.76,DDP,PowerShares DB Commodity Short ETN,4.28%
Financial,6.61B,USA,REIT - Retail,152.75,1562,"1,496,665",18.33,DDR,DDR Corp.,0.60%
Services,5.08B,USA,Department Stores,16.02,1563,"429,332",117.88,DDS,Dillard's Inc.,-0.38%
Industrial Goods,31.05B,USA,Farm & Construction Machinery,9.88,1564,"2,928,004",86.62,DE,Deere & Company,-0.43%
Financial,-,USA,Exchange Traded Fund,-,1601,"2,246",25.65,DGRE,WisdomTree Emerging Markets Div Gr ETF,-1.04%
Financial,-,USA,Exchange Traded Fund,-,1602,"17,421",26.50,DGRO,iShares Core Dividend Growth,-0.19%
Financial,-,USA,Exchange Traded Fund,-,1603,"25,911",31.17,DGRW,WisdomTree US Dividend Growth ETF,0.00%
Consumer Goods,3.35B,USA,Textile - Apparel Footwear & Accessories,23.88,1565,"265,514",96.72,DECK,Deckers Outdoor Corp.,0.49%
Financial,-,USA,Exchange Traded Fund,-,1566,489,43.74,DEE,PowerShares DB Commodity Double Shrt ETN,4.99%
Financial,-,USA,Exchange Traded Fund,-,1567,"15,127",38.79,DEF,Guggenheim Defensive Equity ETF,-0.28%
Financial,-,USA,Exchange Traded Fund,-,1568,0,-,DEFL,PowerShares DB US Deflation ETN,-
Services,7.51B,Belgium,Grocery Stores,23.61,1569,"35,580",18.18,DEG,Etablissements Delhaize Freres et Cie Le Lion S.A.,-1.52%
Financial,4.03B,USA,REIT - Diversified,96.00,1570,"693,854",27.84,DEI,Douglas Emmett Inc,1.27%
Basic Materials,30.86M,Canada,Independent Oil & Gas,-,1571,"1,448,386",0.19,DEJ,Dejour Energy Inc.,-15.29%
Industrial Goods,783.11M,USA,"Lumber, Wood Production",42.64,1572,"30,950",62.25,DEL,Deltic Timber Corporation,-3.22%
Financial,-,USA,Exchange Traded Fund,-,1573,"238,895",45.72,DEM,WisdomTree Emerging Markets Eq Inc ETF,-2.31%
Services,820.94M,USA,Restaurants,31.26,1574,"374,964",9.69,DENN,Denny's Corporation,1.25%
Consumer Goods,77.45B,United Kingdom,Beverages - Wineries & Distillers,21.20,1575,"426,409",123.20,DEO,Diageo plc,2.67%
Healthcare,909.88M,USA,Drug Manufacturers - Other,11.56,1576,"247,947",15.49,DEPO,DepoMed Inc.,-1.59%
Healthcare,424.35M,USA,Biotechnology,-,1577,"21,969",17.25,DERM,"Dermira, Inc.",0.00%
Financial,-,USA,Exchange Traded Fund,-,1578,"21,779",69.83,DES,WisdomTree SmallCap Dividend ETF,-1.02%
Services,219.77M,USA,Apparel Stores,11.70,1579,"99,881",16.03,DEST,Destination Maternity Corporation,2.36%
Financial,-,USA,Exchange Traded Fund,-,1604,"46,060",44.95,DGS,WisdomTree Emerging Markets SmCp Div ETF,-1.51%
Services,16.48M,USA,Jewelry Stores,-,1605,"2,100",1.35,DGSE,DGSE Companies Inc.,2.27%
Financial,-,USA,Exchange Traded Fund,-,1606,740,71.40,DGT,SPDR Global Dow ETF,-0.38%
Healthcare,9.44B,USA,Medical Laboratories & Research,18.77,1607,"613,920",65.31,DGX,Quest Diagnostics Inc.,1.37%
Financial,-,USA,Exchange Traded Fund,-,1608,"74,667",15.92,DGZ,PowerShares DB Gold Short ETN,2.78%
Financial,-,USA,Closed-End Fund - Debt,-,1609,"84,803",3.92,DHF,Dreyfus High Yield Strategies Fund,0.00%
Financial,-,USA,Closed-End Fund - Equity,-,1610,"21,095",14.37,DHG,Deutsche High Income Opportunit,0.21%
Industrial Goods,9.29B,USA,Residential Construction,16.99,1611,"2,037,985",25.49,DHI,DR Horton Inc.,0.51%
Financial,449.10M,USA,Asset Management,17.13,1612,"1,870",135.68,DHIL,Diamond Hill Investment Group Inc.,-1.11%
Industrial Goods,58.72B,USA,Diversified Machinery,21.93,1613,"1,759,406",83.56,DHR,Danaher Corp.,0.13%
Healthcare,22.43M,China,Medical Appliances & Equipment,9.27,1614,"76,776",3.98,DHRM,Dehaier Medical Systems Limited,-6.70%
Financial,-,USA,Exchange Traded Fund,-,1615,"32,156",62.00,DHS,WisdomTree Equity Income ETF,-0.03%
Services,580.04M,Channel Islands,Shipping,69.67,1616,"1,533,893",6.27,DHT,"DHT Holdings, Inc.",-0.48%
Services,577.74M,USA,Staffing & Outsourcing Services,38.82,1617,"222,171",10.87,DHX,"Dice Holdings, Inc.",-0.91%
Financial,297.22M,USA,Closed-End Fund - Debt,10.48,1618,"177,650",3.04,DHY,Credit Suisse High Yield Bond Fund,-0.65%
Financial,-,USA,Exchange Traded Fund,-,1619,"5,242",50.22,DI,PIMCO Diversified Income ETF,-0.40%
Financial,-,USA,Closed-End Fund - Debt,-,1581,"35,791",11.96,DEX,Delaware Enhanced Global Divide,0.00%
Consumer Goods,1.60B,USA,Dairy Products,-,1582,"834,499",17.05,DF,Dean Foods Company,1.37%
Financial,-,USA,Exchange Traded Fund,-,1580,"7,516",46.09,DEW,WisdomTree Global Equity Income ETF,-1.15%
Financial,-,USA,Exchange Traded Fund,-,1620,"4,037,359",178.10,DIA,SPDR Dow Jones Industrial Average ETF,0.05%
Financial,-,USA,Exchange Traded Fund,-,1583,"188,005",52.41,DFE,WisdomTree Europe SmallCap Dividend ETF,-0.68%
Financial,-,USA,Exchange Traded Fund,-,1584,"17,659",48.89,DFJ,WisdomTree Japan SmallCap Dividend ETF,-0.31%
Services,520.39M,USA,Restaurants,33.67,1585,"76,936",22.22,DFRG,"Del Frisco's Restaurant Group, Inc.",-2.29%
Financial,29.73B,USA,Credit Services,12.46,1586,"1,643,553",65.55,DFS,Discover Financial Services,0.89%
Financial,2.65B,USA,REIT - Office,29.90,1587,"345,523",32.59,DFT,"DuPont Fabros Technology, Inc.",0.49%
Financial,-,USA,Exchange Traded Fund,-,1588,0,61.39,DFVL,iPath US Treasury 5-year Bull ETN,0.00%
Financial,-,USA,Exchange Traded Fund,-,1589,"10,000",34.59,DFVS,iPath US Treasury 5-year Bear ETN,-2.56%
Services,20.25B,USA,"Discount, Variety Stores",20.29,1590,"2,323,180",66.74,DG,Dollar General Corporation,1.26%
Utilities,150.15M,USA,Gas Utilities,18.98,1591,"3,752",21.45,DGAS,"Delta Natural Gas Company, Inc.",1.08%
Financial,-,USA,Exchange Traded Fund,-,1592,"17,132,880",3.32,DGAZ,VelocityShares 3x Inv Natural Gas ETN,11.04%
Industrial Goods,2.03B,USA,Aerospace/Defense Products & Services,117.43,1593,"268,997",27.01,DGI,"DigitalGlobe, Inc.",-1.85%
Financial,465.24M,USA,Property & Casualty Insurance,21.76,1594,"9,555",15.67,DGICA,Donegal Group Inc.,-0.51%
Financial,620.74M,USA,Property & Casualty Insurance,31.58,1595,0,23.05,DGICB,Donegal Group Inc.,0.00%
Technology,177.36M,USA,Networking & Communication Devices,102.00,1596,"43,768",7.14,DGII,Digi International Inc.,-1.52%
Financial,-,USA,Exchange Traded Fund,-,1597,"52,334",38.53,DGL,PowerShares DB Gold ETF,-2.82%
Financial,-,USA,Exchange Traded Fund,-,1598,"33,903",83.09,DGLD,VelocityShares 3x Inverse Gold ETN,8.25%
Technology,40.21M,USA,Scientific & Technical Instruments,-,1599,"326,734",13.36,DGLY,Digital Ally Inc.,-4.71%
Financial,-,USA,Exchange Traded Fund,-,1600,"106,133",22.82,DGP,PowerShares DB Gold Double Long ETN,-5.35%
Financial,-,USA,Exchange Traded Fund,-,1621,"399,922",54.72,DIG,ProShares Ultra Oil & Gas,-13.39%
Financial,-,USA,Exchange Traded Fund,-,1622,"1,328",56.91,DIM,WisdomTree International MidCap Div ETF,-1.09%
Services,1.88B,USA,Restaurants,24.83,1623,"209,442",99.33,DIN,"DineEquity, Inc.",2.09%
Technology,1.27B,USA,Semiconductor - Integrated Circuits,24.17,1624,"68,652",26.59,DIOD,Diodes Incorporated,-0.82%
Financial,-,USA,Exchange Traded Fund,-,1625,0,38.25,DIRT,iPath Pure Beta Agriculture ETN,0.00%
Services,156.87B,USA,Entertainment - Diversified,21.72,1626,"3,852,961",92.51,DIS,The Walt Disney Company,0.64%
Services,15.28B,USA,CATV Systems,16.54,1627,"1,077,721",34.90,DISCA,"Discovery Communications, Inc.",0.49%
Services,23.19B,USA,CATV Systems,20.12,1628,"823,948",34.01,DISCK,"Discovery Communications, Inc.",0.44%
Services,36.60B,USA,CATV Systems,44.12,1629,"1,320,131",79.41,DISH,Dish Network Corp.,1.50%
Services,50.22M,USA,Food Wholesale,12.13,1630,0,81.00,DIT,AMCON Distributing Co.,0.00%
Financial,-,USA,Exchange Traded Fund,-,1631,"69,669",29.60,DIV,Global X SuperDividend US ETF,-0.67%
Financial,-,USA,Exchange Traded Fund,-,1632,"3,449",22.20,DIVI,AdvisorShares Athena High Dividend ETF,-3.39%
Financial,-,USA,Exchange Traded Fund,-,1633,"72,466",21.00,DJCI,UBS ETRACS Bloomberg Cmdty Tot Ret ETN,-3.45%
Services,305.38M,USA,Publishing - Newspapers,94.97,1634,502,221.29,DJCO,Daily Journal Corp.,-0.09%
Financial,-,USA,Exchange Traded Fund,-,1635,"542,717",32.62,DJP,iPath DJ-UBS Cmdty TR ETN,-3.89%
Basic Materials,1.81B,USA,Oil & Gas Refining & Marketing,11.41,1636,"619,760",29.90,DK,"Delek US Holdings, Inc.",-6.68%
Technology,4.54B,USA,Diversified Electronics,22.30,1641,"184,850",44.38,DLB,"Dolby Laboratories, Inc.",0.36%
Financial,-,USA,Exchange Traded Fund,-,1642,"6,744",22.90,DLBS,iPath US Treasury Long Bond Bear ETN,-1.80%
Services,24.60M,USA,Staffing & Outsourcing Services,36.57,1643,"2,937",2.56,DLHC,DLH Holdings Corp.,-1.91%
Basic Materials,912.91M,USA,Independent Oil & Gas,14.92,1637,"22,360",36.99,DKL,"Delek Logistics Partners, LP",-3.12%
Services,6.14B,USA,Sporting Goods Stores,18.96,1638,"875,635",50.61,DKS,Dick's Sporting Goods Inc.,1.93%
Services,640.99M,China,Education & Training Services,32.07,1639,"116,355",17.96,DL,China Distance Education Holdings Limited,-1.10%
Consumer Goods,84.95M,USA,Textile - Apparel Clothing,269.50,1640,"3,031",10.78,DLA,Delta Apparel Inc.,1.14%
Services,8.73M,USA,Catalog & Mail Order Houses,-,1644,"1,451,058",0.12,DLIA,"dELiA*s, Inc.",-8.85%
Financial,-,USA,Exchange Traded Fund,-,1645,"21,981",74.71,DLN,WisdomTree LargeCap Dividend ETF,-0.15%
Services,638.12M,Greece,Shipping,10.75,1646,"27,749",17.96,DLNG,Dynagas LNG Partners LP,-1.32%
Consumer Goods,21.60B,United Kingdom,Auto Parts,17.04,1647,"847,382",72.95,DLPH,Delphi Automotive PLC,1.63%
Financial,9.52B,USA,REIT - Office,41.09,1648,"594,225",70.27,DLR,Digital Realty Trust Inc.,0.54%
Financial,-,USA,Exchange Traded Fund,-,1649,"15,884",57.17,DLS,WisdomTree International SmallCp Div ETF,-1.23%
Services,14.06B,USA,"Discount, Variety Stores",23.41,1650,"1,481,539",68.36,DLTR,"Dollar Tree, Inc.",1.51%
Services,2.90B,USA,Business Services,15.75,1651,"207,772",58.45,DLX,Deluxe Corp.,-0.83%
Basic Materials,2.07B,USA,Oil & Gas Pipelines,19.41,1652,"166,437",31.05,DM,"Dominion Midstream Partners, LP",-4.43%
Technology,109.26M,USA,Internet Software & Services,-,1653,"79,292",5.58,DMD,"Demand Media, Inc.",-2.62%
Financial,192.60M,USA,Closed-End Fund - Debt,-,1654,"39,591",9.30,DMF,"Dreyfus Municipal Income, Inc.",-0.11%
Financial,792.46M,USA,Diversified Investments,16.56,1655,"68,407",25.83,DMLP,Dorchester Minerals LP,-8.40%
Consumer Goods,934.81M,USA,Processed & Packaged Goods,-,1656,"116,801",29.79,DMND,"Diamond Foods, Inc.",0.71%
Technology,186.11M,USA,Information Technology Services,-,1657,"6,763",24.17,DMRC,Digimarc Corporation,-4.84%
Technology,4.56B,USA,Information & Delivery Services,17.09,1658,"105,365",126.95,DNB,Dun & Bradstreet Corp.,-0.01%
Financial,58.80M,USA,Regional - Mid-Atlantic Banks,13.56,1659,"1,206",21.15,DNBF,DNB Financial Corp.,-0.70%
Healthcare,19.70M,USA,Biotechnology,-,1660,0,0.13,DNDN,Dendreon Corp.,0.00%
Financial,-,USA,Closed-End Fund - Equity,-,1661,"42,021",16.20,DNI,Dividend and Income Fund Common,-0.12%
Services,5.06B,USA,Restaurants,31.19,1662,"545,120",48.35,DNKN,"Dunkin' Brands Group, Inc.",1.98%
Financial,-,USA,Exchange Traded Fund,-,1663,"4,520",51.44,DNL,WisdomTree Global ex-US Dividend Gr ETF,-1.25%
Basic Materials,522.21M,Canada,Industrial Metals & Minerals,-,1664,"631,831",1.02,DNN,Denison Mines Corp.,-6.42%
Services,26.84M,USA,Sporting Goods Stores,22.59,1681,"4,800",4.97,DOVR,"Dover Saddlery, Inc.",1.64%
Basic Materials,57.36B,USA,Chemicals - Major Diversified,16.39,1682,"13,310,461",48.67,DOW,The Dow Chemical Company,-5.97%
Financial,-,USA,Exchange Traded Fund,-,1665,"10,796",44.91,DNO,United States Short Oil ETF,8.30%
Basic Materials,2.87B,USA,Oil & Gas Equipment & Services,21.42,1666,"3,038,432",26.78,DNOW,NOW Inc.,-6.33%
Financial,2.90B,USA,Closed-End Fund - Equity,4.01,1667,"135,673",10.58,DNP,DNP Select Income Fund Inc.,0.19%
Basic Materials,2.91B,USA,Independent Oil & Gas,8.10,1668,"10,562,051",8.26,DNR,Denbury Resources Inc.,-15.20%
Financial,-,USA,Closed-End Fund - Equity,-,1669,50,22.73,DNY,The Denali Fund Inc.,-0.66%
Basic Materials,4.03B,USA,Oil & Gas Drilling & Exploration,10.64,1670,"2,749,237",29.37,DO,"Diamond Offshore Drilling, Inc.",-8.85%
Financial,732.49M,USA,REIT - Healthcare Facilities,-,1671,"296,930",15.46,DOC,Physicians Realty Trust,-0.45%
Financial,-,USA,Exchange Traded Fund,-,1672,"1,060",15.72,DOD,ELEMENTS Dogs of Dow DJ HY Sel 10 TR ETN,0.38%
Financial,-,USA,Exchange Traded Fund,-,1673,"270,975",23.37,DOG,ProShares Short Dow30,-0.09%
Financial,-,USA,Exchange Traded Fund,-,1674,"65,201",49.64,DOL,WisdomTree International LargeCp Div ETF,-0.96%
Financial,57.00M,USA,Diversified Investments,9.82,1675,"40,775",7.27,DOM,Dominion Resources Black Warrior Trust,-2.94%
Financial,-,USA,Exchange Traded Fund,-,1676,"20,636",83.20,DON,WisdomTree MidCap Dividend ETF,-0.31%
Financial,-,USA,Exchange Traded Fund,-,1677,"2,425",46.03,DOO,WisdomTree Intl Div ex-Fincls ETF,-1.10%
Industrial Goods,1.75B,USA,General Building Materials,-,1678,"213,092",58.61,DOOR,Masonite International Corporation,-0.09%
Consumer Goods,1.69B,USA,Auto Parts,18.71,1679,"102,232",47.33,DORM,"Dorman Products, Inc.",1.11%
Technology,7.73B,Channel Islands,Business Software & Services,19.27,1683,"226,828",48.74,DOX,Amdocs Limited,1.03%
Financial,-,USA,Closed-End Fund - Equity,-,1684,"13,507",16.96,DPD,Dow 30 Premium & Dividend Income Fund Inc.,0.47%
Financial,-,USA,Exchange Traded Fund,-,1685,375,32.14,DPK,Direxion Daily Dev Mkts Bear 3X ETF,1.71%
Healthcare,1.38B,USA,Drugs - Generic,-,1686,"95,765",26.86,DPLO,"Diplomat Pharmacy, Inc.",2.60%
Basic Materials,5.41B,USA,Oil & Gas Pipelines,34.47,1687,"336,734",47.91,DPM,DCP Midstream Partners LP,-7.15%
Financial,394.22M,USA,Closed-End Fund - Equity,6.05,1688,"44,074",14.15,DPO,Dow 30 Premium Dow 30 Enhanced,-0.07%
Healthcare,89.16M,USA,Biotechnology,-,1689,"3,289",10.44,DPRX,"Dipexium Pharmaceuticals, Inc.",1.95%
Consumer Goods,14.39B,USA,Beverages - Soft Drinks,20.73,1690,"708,699",74.00,DPS,"Dr Pepper Snapple Group, Inc.",1.52%
Financial,-,USA,Exchange Traded Fund,-,1691,"1,771",13.16,DPU,PowerShares DB Commodity Long ETN,-3.24%
Technology,9.29M,USA,Diversified Electronics,-,1692,"14,479",1.37,DPW,Digital Power Corp.,-4.34%
Services,5.16B,USA,Restaurants,33.64,1693,"228,630",93.85,DPZ,"Domino's Pizza, Inc.",0.67%
Technology,268.20M,China,Semiconductor Equipment & Materials,-,1694,"102,583",30.00,DQ,Daqo New Energy Corp.,-9.28%
Healthcare,68.26M,USA,Medical Appliances & Equipment,28.23,1695,"17,405",3.67,DRAD,Digirad Corporation,-0.81%
Technology,6.07M,USA,Data Storage Devices,-,1696,"18,970",2.54,DRAM,Dataram Corporation,4.96%
Industrial Goods,6.22B,USA,Diversified Machinery,57.12,1697,"2,171,958",81.11,DRC,Dresser-Rand Group Inc.,-1.21%
Industrial Goods,12.73B,USA,Diversified Machinery,15.68,1680,"3,413,021",76.99,DOV,Dover Corporation,-5.08%
Basic Materials,79.19M,South Africa,Gold,-,1698,"111,882",2.10,DRD,DRDGOLD Ltd.,-7.08%
Financial,6.64B,USA,REIT - Industrial,45.21,1699,"1,498,254",19.44,DRE,Duke Realty Corporation,0.00%
Financial,-,USA,Exchange Traded Fund,-,1700,572,54.28,DRGS,RBS Global Big Pharma ETN,1.86%
Financial,2.92B,USA,REIT - Hotel/Motel,28.17,1701,"1,267,288",14.93,DRH,Diamondrock Hospitality Co.,1.08%
Services,7.56B,USA,Restaurants,62.63,1702,"682,838",56.99,DRI,"Darden Restaurants, Inc.",2.02%
Services,1.83B,USA,Resorts & Casinos,44.78,1703,"91,246",24.18,DRII,"Diamond Resorts International, Inc.",-1.27%
Technology,809.69M,USA,Internet Software & Services,-,1704,"211,099",25.39,DRIV,Digital River Inc.,0.00%
Financial,34.00M,USA,Money Center Banks,-,1705,"50,026",5.12,DRL,Doral Financial Corporation,-2.85%
Financial,-,USA,Exchange Traded Fund,-,1706,"80,055",75.10,DRN,Direxion Daily Real Estate Bull 3X ETF,0.79%
