option,open_interest,symbol,volume_change,volume,open_interest_change,close,ticker,change
FEB 15 60 Call,"+61,497",YHOO150220C00060000,"61,682",(-10.10%),(+33241.60%),0.80,YHOO,-0.09
JUN 15 35 Put,"+2,143",T150619P00035000,"2,150",(+3.60%),(+30614.30%),2.88,T,+0.10
DEC 14 60 Put,"+2,990",KMX141220P00060000,"3,000",(-11.90%),(+29900.00%),2.60,KMX,-0.35
JAN 15 70 Call,"+5,308",STJ150117C00070000,"5,329",(+5.70%),(+25276.20%),1.85,STJ,+0.10
JAN 15 97.5 Call,"+5,028",APC150117C00097500,"5,048",(-17.80%),(+25140.00%),0.74,APC,-0.16
MAR 15 71 Call,"+2,649",XLY150320C00071000,"2,660",(-1.20%),(+24081.80%),2.39,XLY,-0.03
MAY 15 18 Put,"+2,341",RIG150515P00018000,"2,351",(+15.80%),(+23410.00%),2.86,RIG,+0.39
JAN 16 40 Put,"+4,978",EWZ160115P00040000,"5,000",(+9.40%),(+22627.30%),5.80,EWZ,+0.50
DEC 14 31 Put,"+1,513",SWN141220P00031000,"1,520",(+1.10%),(+21614.30%),1.78,SWN,+0.02
DEC 14 23 Call,"+2,139",ALLY141220C00023000,"2,149",(+28.60%),(+21390.00%),0.45,ALLY,+0.10
MAR 15 30 Put,"+3,609",SU150320P00030000,"3,626",(+34.70%),(+21229.40%),1.63,SU,+0.42
FEB 15 65 Put,"+3,706",KORS150220P00065000,"3,724",(-13.00%),(+20588.90%),1.00,KORS,-0.15
DEC 14 17 Put,"+2,230",FNSR141220P00017000,"2,241",(+26.70%),(+20272.70%),0.95,FNSR,+0.20
JAN 15 70 Call,"+3,179",M150117C00070000,"3,195",(-51.90%),(+19868.80%),0.13,M,-0.14
JAN 15 16 Call,"+4,741",RFMD150117C00016000,"4,765",(+40.00%),(+19754.20%),0.70,RFMD,+0.20
DEC 14 50.5 Call,"+3,109",XLB141220C00050500,"3,125",(+16.70%),(+19431.30%),0.28,XLB,+0.04
JUN 15 35 Put,"+2,143",T150619P00035000,"2,150",(+3.40%),(+30614.30%),2.85,T,+0.09
JAN 15 27 Call,"+2,225",GE150117C00027000,"3,191",(-32.60%),(+230.30%),0.15,GE,-0.07
JAN 15 22 Call,-140,AMAT150117C00022000,29,(-5.50%),(-82.80%),2.66,AMAT,-0.16
JAN 15 60 Call,+407,JPM150117C00060000,"1,922",(-5.90%),(+26.90%),2.17,JPM,-0.13
JAN 15 55 Call,+20,FB150117C00055000,30,(+1.80%),(+200.00%),20.27,FB,+0.35
JAN 15 57.5 Call,+240,DOW150117C00057500,310,(+21.40%),(+342.90%),0.09,DOW,+0.02
DEC 14 57 Put,+500,EFA141220P00057000,500,(-16.70%),0.00%,0.03,EFA,0.00
JAN 15 55 Call,"-3,561",C150117C00055000,"3,183",(+0.90%),(-52.80%),1.61,C,+0.01
JAN 15 57.5 Call,"+1,390",CMCSA150117C00057500,"6,175",(-27.30%),(+29.00%),0.93,CMCSA,-0.35
JAN 15 10 Call,+6,AA150117C00010000,17,(+0.70%),(+54.50%),7.25,AA,+0.05
JAN 15 110 Call,-271,QQQ150117C00110000,259,(-4.10%),(-51.10%),0.24,QQQ,-0.01
JAN 15 42.5 Call,+916,KMI150117C00042500,"1,850",(-11.30%),(+98.10%),0.95,KMI,-0.12
DEC 14 43 Call,-67,DAL141220C00043000,100,(+53.40%),(-40.10%),3.75,DAL,+1.31
JAN 16 50 Call,+21,WMB160115C00050000,26,(-1.60%),(+420.00%),6.03,WMB,-0.10
JAN 15 25 Call,+21,MU150117C00025000,31,(-1.50%),(+210.00%),11.18,MU,-0.18
JAN 15 25 Call,+302,CSCO150117C00025000,807,(-4.90%),(+59.80%),2.83,CSCO,-0.15
JAN 15 48 Call,+357,SO150117C00048000,383,(-4.40%),(+1373.10%),0.76,SO,-0.04
JAN 15 72.5 Call,"-1,488",DD150117C00072500,825,(+4.00%),(-64.30%),1.58,DD,+0.06
JAN 15 29.5 Call,+7,AMTD150117C00029500,15,(+0.80%),(+87.50%),6.10,AMTD,+0.05
JAN 15 75 Call,-957,DISH150117C00075000,83,(-20.00%),(-92.00%),2.80,DISH,-0.70
MAR 15 15 Put,+5,NEM150320P00015000,15,(+11.30%),(+50.00%),0.30,NEM,+0.03
DEC 14 21 Put,-80,HTZ141220P00021000,30,(-50.00%),(-72.70%),0.05,HTZ,-0.05
JAN 15 21 Put,"+9,940",CHK150117P00021000,"10,050",(+15.20%),(+9036.40%),2.20,CHK,+0.29
JAN 15 15 Put,"-2,288",LINE150117P00015000,318,(+33.30%),(-87.80%),0.80,LINE,+0.20
JAN 15 15 Put,+110,EWT150117P00015000,120,(-4.90%),(+1100.00%),0.20,EWT,-0.01
JAN 15 18 Call,-196,NUAN150117C00018000,308,(+50.00%),(-38.90%),0.08,NUAN,+0.03
JAN 15 24 Put,-216,BKLN150117P00024000,543,(+14.30%),(-28.50%),0.20,BKLN,+0.03
JAN 15 20 Put,+511,JNPR150117P00020000,511,(+5.60%),0.00%,0.19,JNPR,+0.01
JAN 15 30 Call,-12,EWG150117C00030000,30,0.00%,(-28.60%),0.13,EWG,0.00
JAN 15 40 Call,+21,RSG150117C00040000,21,(-9.10%),0.00%,0.25,RSG,-0.03
JAN 15 40 Call,+23,LEN150117C00040000,23,(-9.80%),0.00%,6.20,LEN,-0.68
MAR 15 55 Call,+729,UAL150320C00055000,774,(+25.60%),(+1620.00%),9.68,UAL,+1.98
DEC 14 202 Put,"+21,361",SPY141220P00202000,"43,200",(-10.60%),(+97.80%),0.64,SPY,-0.07
JUN 15 13 Call,"-28,209",SPLS150619C00013000,"31,827",(-5.00%),(-47.00%),1.90,SPLS,-0.10
DEC 14 56 Put,"+24,845",XLI141220P00056000,"27,059",(+12.30%),(+1122.20%),0.37,XLI,+0.04
JAN 15 106 Call,-336,QQQ150117C00106000,"26,993",(+1.00%),(-1.20%),1.45,QQQ,+0.01
DEC 14 120 Call,"+14,485",AAPL141220C00120000,"26,097",(-19.50%),(+124.70%),0.68,AAPL,-0.17
DEC 14 116 Call,"+15,481",IWM141220C00116000,"23,380",(-15.20%),(+196.00%),2.15,IWM,-0.39
DEC 14 17.5 Call,"-15,586",BAC141220C00017500,"23,121",(-32.30%),(-40.30%),0.11,BAC,-0.05
JAN 15 20.54 Call,"+22,501",KING150117C00020540,"22,525",(+75.00%),(+93754.20%),0.35,KING,+0.15
JUN 15 37 Call,"+21,557",T150619C00037000,"21,559",(-4.30%),(+1077850.00%),0.34,T,-0.02
DEC 14 38.5 Put,"+19,800",EEM141220P00038500,"20,030",(-18.20%),(+8608.70%),0.09,EEM,-0.02
JAN 15 42 Call,"+19,810",GM150117C00042000,"19,810",(-14.30%),0.00%,0.03,GM,0.00
JAN 15 47 Put,"+13,354",XOP150117P00047000,"17,431",(+32.20%),(+327.50%),2.22,XOP,+0.54
JAN 15 37 Put,"+16,403",FXI150117P00037000,"16,415",(-37.90%),(+136691.70%),0.21,FXI,-0.12
JAN 15 19 Put,"+16,150",CHK150117P00019000,"16,293",(+22.80%),(+11293.70%),1.05,CHK,+0.20
JAN 15 60 Call,"+1,471",MYL150117C00060000,"1,492",(-7.50%),(+7004.80%),1.60,MYL,-0.13
DEC 14 22 Call,-17,PHM141220C00022000,-17,(+28.00%),(-43.60%),0.32,PHM,+0.07
DEC 14 45 Call,+575,AXLL141220C00045000,+575,(+27.30%),(+11500.00%),1.40,AXLL,+0.30
DEC 14 250 Call,+70,PCP141220C00250000,+70,(+27.30%),0.00%,0.70,PCP,+0.15
DEC 14 19.85 Call,+43,UVE141220C00019850,+43,(+27.30%),(+215.00%),0.70,UVE,+0.15
DEC 14 14 Call,-93,INVN141220C00014000,-93,(+27.30%),(-49.50%),0.70,INVN,+0.15
DEC 14 80 Call,+1,BPL141220C00080000,+1,(+26.70%),(+4.30%),1.90,BPL,+0.40
JAN 15 60 Call,-2,H150117C00060000,-2,(+26.30%),(-10.00%),1.20,H,+0.25
DEC 14 12.5 Call,+100,FLY141220C00012500,+100,(+26.30%),0.00%,1.20,FLY,+0.25
JAN 16 165 Call,+20,TM160115C00165000,+20,(+26.30%),0.00%,1.20,TM,+0.25
JAN 15 12.5 Call,+20,PSEM150117C00012500,+20,(+26.30%),0.00%,1.20,PSEM,+0.25
JAN 15 480 Call,-103,REGN150117C00480000,-103,(+26.30%),(-85.80%),3.60,REGN,+0.75
JAN 15 22.5 Call,-1,BLMN150117C00022500,-1,(+26.10%),(-3.40%),1.45,BLMN,+0.30
DEC 14 122 Call,-19,FXE141220C00122000,-19,(+26.00%),(-4.60%),0.92,FXE,+0.19
DEC 14 35 Call,+80,ANAC141220C00035000,+80,(+25.90%),0.00%,1.70,ANAC,+0.35
DEC 14 36.5 Call,-86,MS141220C00036500,-86,(+25.90%),(-61.90%),0.73,MS,+0.15
JAN 15 39 Call,"+2,144",HPQ150117C00039000,"2,209",(-0.50%),(+3298.50%),1.02,HPQ,-0.01
DEC 14 320 Call,+956,AMZN141220C00320000,"2,183",(+2.90%),(+77.90%),6.30,AMZN,+0.17
DEC 14 70 Put,"+1,487",GPRO141220P00070000,"2,160",(+19.60%),(+221.00%),3.20,GPRO,+0.53
DEC 14 23 Call,"+2,139",ALLY141220C00023000,"2,149",(+15.40%),(+21390.00%),0.38,ALLY,+0.05
MAR 15 50 Call,-165,AMCX150320C00050000,"2,146",(-6.80%),(-7.10%),14.40,AMCX,-1.05
DEC 14 30 Put,"+2,097",CONN141220P00030000,"2,134",(+36.40%),(+5667.60%),1.13,CONN,+0.30
JAN 15 62.5 Call,+725,JPM150117C00062500,"2,133",(-10.30%),(+51.50%),0.79,JPM,-0.09
DEC 14 32 Call,"+2,107",DB141220C00032000,"2,111",(-23.90%),(+52675.00%),0.88,DB,-0.27
DEC 14 125 Call,+779,PVH141220C00125000,"2,096",(-65.90%),(+59.10%),1.40,PVH,-2.70
JAN 15 105 Put,"+1,971",CVX150117P00105000,"2,095",(+21.80%),(+1589.50%),1.06,CVX,+0.19
FEB 15 70 Put,"+2,040",NOV150220P00070000,"2,090",(+0.50%),(+4080.00%),5.28,NOV,+0.03
DEC 14 125 Call,"+1,246",ULTA141220C00125000,"2,081",(+10.90%),(+149.20%),7.10,ULTA,+0.70
JAN 15 90 Call,"+1,963",WDAY150117C00090000,"2,081",(-22.90%),(+1663.60%),0.93,WDAY,-0.28
DEC 14 75 Put,"+1,890",UNFI141220P00075000,"2,068",(-61.50%),(+1061.80%),0.75,UNFI,-1.20
DEC 14 90 Call,"+1,513",PRU141220C00090000,"2,067",(+1.40%),(+273.10%),0.37,PRU,+0.01
JAN 15 87.5 Put,"+1,923",EOG150117P00087500,"2,060",(+8.10%),(+1403.60%),3.08,EOG,+0.23
JAN 17 70 Call,"+2,014",HAL170120C00070000,"2,025",(+3.40%),(+18309.10%),1.84,HAL,+0.06
JUN 15 205 Put,"+9,264",SPY150619P00205000,"9,315",0.00%,(+18164.70%),8.79,SPY,0.00
APR 15 20 Call,"+2,298",AMAT150417C00020000,"2,311",(-3.00%),(+17676.90%),4.90,AMAT,-0.15
DEC 14 63.5 Call,"+3,979",EWW141220C00063500,"4,002",(-47.90%),(+17300.00%),0.25,EWW,-0.23
JAN 15 150 Call,"+1,194",VRX150117C00150000,"1,201",(-10.00%),(+17057.10%),4.50,VRX,-0.50
DEC 14 34 Call,"+10,350",VXX141220C00034000,"10,412",(-16.70%),(+16693.50%),0.20,VXX,-0.04
JAN 15 110 Call,"+1,140",AVGO150117C00110000,"1,147",(+106.70%),(+16285.70%),1.55,AVGO,+0.80
JAN 15 50 Put,"+1,690",AFSI150117P00050000,"1,701",(-3.20%),(+15363.60%),6.10,AFSI,-0.20
JAN 15 45 Call,+908,WFC150117C00045000,914,(+1.00%),(+15133.30%),9.70,WFC,+0.10
JAN 15 52.5 Call,"+1,499",EBAY150117C00052500,"1,509",(-4.20%),(+14990.00%),2.97,EBAY,-0.13
JUN 15 35 Put,+894,ALTR150619P00035000,900,0.00%,(+14900.00%),1.80,ALTR,0.00
JAN 15 79 Put,"+15,818",XLE150117P00079000,"15,926",(+9.70%),(+14646.30%),2.15,XLE,+0.19
JAN 15 60 Call,"+3,573",LVS150117C00060000,"3,598",(-36.40%),(+14292.00%),1.57,LVS,-0.90
DEC 14 64 Call,+996,APA141220C00064000,"1,003",(-28.30%),(+14228.60%),1.62,APA,-0.64
JAN 15 82.5 Call,"+1,232",OXY150117C00082500,"1,241",(-9.90%),(+13688.90%),2.56,OXY,-0.28
DEC 14 24 Call,+907,DWA141220C00024000,914,(+185.70%),(+12957.10%),1.00,DWA,+0.65
JAN 15 37 Call,-625,INTC150117C00037000,529,(-1.70%),(-54.20%),1.47,INTC,-0.03
JAN 15 30 Call,+186,PFE150117C00030000,518,(-5.60%),(+56.00%),1.85,PFE,-0.11
JAN 15 40 Put,"-8,157",BKW150117P00040000,"1,571",(-7.70%),(-83.90%),6.00,BKW,-0.50
JAN 15 50 Put,+382,HLF150117P00050000,400,(-2.10%),(+2122.20%),9.20,HLF,-0.20
JAN 15 50 Call,"+4,062",MSFT150117C00050000,"4,955",(+48.50%),(+454.90%),0.72,MSFT,+0.24
JAN 15 120 Call,+155,APC150117C00120000,166,(-5.80%),(+1409.10%),0.25,APC,-0.02
JAN 15 31 Call,"+1,114",EMC150117C00031000,"1,142",(-6.00%),(+3978.60%),0.55,EMC,-0.04
JAN 15 55 Put,-96,MRK150117P00055000,88,(-12.00%),(-52.20%),0.11,MRK,-0.02
JAN 15 45 Call,+425,AAL150117C00045000,533,(+22.60%),(+393.50%),5.70,AAL,+1.05
JAN 15 45 Call,"-1,081",KO150117C00045000,165,(-23.60%),(-86.80%),0.34,KO,-0.11
JAN 15 75 Put,+901,COV150117P00075000,"1,002",0.00%,(+892.10%),0.22,COV,0.00
JAN 15 110 Call,-132,UPS150117C00110000,603,(-9.80%),(-18.00%),2.75,UPS,-0.30
JAN 16 70 Call,+92,PG160115C00070000,100,(+0.90%),(+1150.00%),19.85,PG,+0.18
JAN 15 105 Call,+29,JNJ150117C00105000,88,(-8.90%),(+49.20%),3.33,JNJ,-0.33
DEC 14 58 Call,"-1,042",DXJ141220C00058000,"4,542",(+1.80%),(-18.70%),0.57,DXJ,+0.01
JAN 15 95 Call,+209,MCD150117C00095000,345,(+1.60%),(+153.70%),2.26,MCD,+0.04
DEC 14 17 Call,-8,KBH141220C00017000,"1,391",(-46.00%),(-0.60%),0.17,KBH,-0.15
JAN 15 70 Call,+913,LVS150117C00070000,973,(-45.50%),(+1521.70%),0.09,LVS,-0.08
JAN 15 25 Put,"+1,000",RSX150117P00025000,"1,000",(+6.30%),0.00%,6.70,RSX,+0.40
JAN 15 55 Call,-200,MET150117C00055000,24,(-11.00%),(-89.30%),1.57,MET,-0.20
JAN 15 15 Call,"+2,063",AEO150117C00015000,"2,215",(-30.80%),(+1357.20%),0.45,AEO,-0.20
JAN 15 35 Call,"-6,464",VOD150117C00035000,36,(-14.10%),(-99.40%),1.22,VOD,-0.20
JAN 15 26 Call,-87,DBA150117C00026000,166,0.00%,(-34.40%),0.23,DBA,0.00
DEC 14 70 Call,"-1,207",COP141220C00070000,380,(-33.10%),(-76.10%),1.42,COP,-0.71
JAN 15 20 Put,+83,DHI150117P00020000,101,(-7.70%),(+461.10%),0.06,DHI,0.00
JAN 15 50 Put,"-3,427",TXN150117P00050000,23,(+6.00%),(-99.30%),0.27,TXN,+0.02
DEC 14 80 Put,+2,DE141220P00080000,17,0.00%,(+13.30%),0.11,DE,0.00
JAN 15 12 Call,-96,RFMD150117C00012000,37,(+14.30%),(-72.20%),3.60,RFMD,+0.45
DEC 14 50 Call,-94,DNKN141220C00050000,294,(-25.00%),(-24.20%),0.23,DNKN,-0.07
JAN 15 70 Call,"-10,484",DVN150117C00070000,798,(-24.80%),(-92.90%),0.40,DVN,-0.13
JAN 15 130 Call,-273,CVX150117C00130000,53,(-27.80%),(-83.70%),0.07,CVX,-0.02
JAN 15 40 Call,+40,JNK150117C00040000,40,0.00%,0.00%,0.05,JNK,0.00
JAN 15 31 Call,0,NRG150117C00031000,163,(-34.60%),0.00%,0.43,NRG,-0.22
JAN 15 79 Put,"+15,818",XLE150117P00079000,"15,926",(+14.30%),(+14646.30%),2.08,XLE,+0.26
JAN 15 13 Put,"+14,444",BSX150117P00013000,"15,230",(+64.70%),(+1837.70%),0.70,BSX,+0.27
APR 15 39 Call,"+3,388",INTC150417C00039000,"15,172",(-3.10%),(+28.80%),1.42,INTC,-0.04
JAN 15 120 Call,"+13,653",GLD150117C00120000,"15,015",(-12.30%),(+1002.40%),1.21,GLD,-0.17
JAN 15 70 Call,"+13,999",WAG150117C00070000,"14,521",(+23.00%),(+2681.80%),1.37,WAG,+0.26
DEC 14 19 Put,"+13,835",GDX141220P00019000,"14,163",(-67.30%),(+4218.00%),0.63,GDX,-1.30
JAN 15 52.5 Call,"+12,521",DOW150117C00052500,"12,736",(+11.20%),(+5823.70%),0.55,DOW,+0.06
JUN 15 50 Call,"+12,366",XLNX150619C00050000,"12,381",(-0.90%),(+82440.00%),1.74,XLNX,-0.01
DEC 14 38 Call,"+11,484",TWTR141220C00038000,"11,736",(-13.00%),(+4557.10%),1.75,TWTR,-0.26
JAN 15 85 Call,"+10,541",WMT150117C00085000,"11,405",(-6.50%),(+1220.00%),1.58,WMT,-0.11
FEB 15 75 Call,+121,MDT150220C00075000,"10,586",(-14.10%),(+1.20%),2.07,MDT,-0.34
JAN 16 37 Call,"+10,531",MU160115C00037000,"10,556",(-0.50%),(+42124.00%),5.43,MU,-0.03
JAN 15 44 Call,"+10,411",DAL150117C00044000,"10,516",(+44.60%),(+9915.20%),3.60,DAL,+1.11
DEC 14 34 Call,"+10,350",VXX141220C00034000,"10,412",(-17.80%),(+16693.50%),0.19,VXX,-0.04
DEC 14 42.5 Put,"+6,455",KO141220P00042500,"10,056",(+31.00%),(+179.30%),0.19,KO,+0.04
MAR 15 60 Call,"+10,010",MET150320C00060000,"10,022",(-12.90%),(+83416.70%),0.61,MET,-0.09
JAN 16 97.5 Call,+416,PG160115C00097500,422,(+6.50%),(+6933.30%),2.13,PG,+0.13
JAN 15 22 Put,"+1,290",NUGT150117P00022000,"1,309",(+6.80%),(+6789.50%),9.40,NUGT,+0.60
MAY 15 70 Call,+407,NOV150515C00070000,413,(-5.60%),(+6783.30%),4.20,NOV,-0.25
JAN 15 67.5 Put,+948,INFY150117P00067500,962,(+32.60%),(+6771.40%),2.85,INFY,+0.70
JAN 15 85 Call,+401,CAH150117C00085000,407,(-14.30%),(+6683.30%),0.60,CAH,-0.10
DEC 14 17 Call,"+3,257",CSTM141220C00017000,"3,307",(+162.50%),(+6514.00%),1.05,CSTM,+0.65
APR 15 100 Call,"+1,355",FB150417C00100000,"1,376",(+4.30%),(+6452.40%),0.49,FB,+0.02
JAN 15 50 Call,+704,DKS150117C00050000,715,(-8.00%),(+6400.00%),1.15,DKS,-0.10
JAN 16 15 Put,+703,UPL160115P00015000,714,(+10.00%),(+6390.90%),2.75,UPL,+0.25
APR 15 16 Call,"+1,014",LINE150417C00016000,"1,030",(-27.30%),(+6337.50%),2.40,LINE,-0.90
JUN 15 45 Put,+602,VLO150619P00045000,612,(-2.40%),(+6020.00%),2.03,VLO,-0.05
DEC 14 70 Call,+598,OII141220C00070000,608,(+11.10%),(+5980.00%),0.50,OII,+0.05
DEC 14 52.5 Call,+595,BIG141220C00052500,605,(-27.80%),(+5950.00%),0.65,BIG,-0.25
MAR 15 55 Put,"+1,475",CBS150320P00055000,"1,500",(+2.80%),(+5900.00%),3.70,CBS,+0.10
JAN 15 52.5 Call,"+12,521",DOW150117C00052500,"12,736",(+5.80%),(+5823.70%),0.55,DOW,+0.03
JAN 16 70 Call,"+1,159",UAL160115C00070000,"1,179",(+12.90%),(+5795.00%),7.45,UAL,+0.85
MAR 15 90 Call,+35,SAVE150320C00090000,+35,(+25.80%),(+1750.00%),3.90,SAVE,+0.80
FEB 15 80 Call,+24,TCP150220C00080000,+24,(+25.80%),0.00%,3.90,TCP,+0.80
DEC 14 13 Call,+227,KEY141220C00013000,+227,(+25.60%),(+2837.50%),0.54,KEY,+0.11
JAN 15 23 Call,+30,ATVI150117C00023000,+30,(+25.00%),0.00%,0.40,ATVI,+0.08
JAN 15 35 Call,-36,JJC150117C00035000,-36,(+25.00%),(-60.00%),1.25,JJC,+0.25
DEC 14 72.5 Call,+42,MWE141220C00072500,+42,(+25.00%),0.00%,1.25,MWE,+0.25
APR 15 60 Call,+5,RMD150417C00060000,+5,(+25.00%),(+38.50%),1.25,RMD,+0.25
DEC 14 27 Call,-122,MPEL141220C00027000,-122,(+25.00%),(-74.40%),0.25,MPEL,+0.05
JAN 15 16 Call,+18,CHU150117C00016000,+18,(+25.00%),(+1800.00%),0.25,CHU,+0.05
DEC 14 20 Call,+17,ARUN141220C00020000,+17,(+25.00%),(+154.50%),0.25,ARUN,+0.05
JAN 15 75 Call,+589,STJ150117C00075000,+589,(+25.00%),0.00%,0.50,STJ,+0.10
DEC 14 65 Call,+12,SKX141220C00065000,+12,(+25.00%),(+240.00%),0.50,SKX,+0.10
FEB 15 30 Call,+103,IMKTA150220C00030000,+103,(+25.00%),(+643.80%),1.00,IMKTA,+0.20
JAN 15 105 Call,+105,DATA150117C00105000,+105,(+25.00%),0.00%,0.50,DATA,+0.10
DEC 14 20 Call,+12,RGLS141220C00020000,+12,(+25.00%),(+300.00%),0.50,RGLS,+0.10
DEC 14 50 Call,+30,WEC141220C00050000,+30,(+25.00%),0.00%,1.00,WEC,+0.20
DEC 14 40 Call,"+2,052",SINA141220C00040000,"2,053",(-3.30%),(+205200.00%),0.15,SINA,-0.01
DEC 14 60 Call,"+1,069",KR141220C00060000,"2,047",(+96.00%),(+109.30%),1.23,KR,+0.60
JAN 17 32 Put,"+2,039",BX170120P00032000,"2,039",(-0.50%),0.00%,5.33,BX,-0.02
DEC 14 43 Call,"+1,902",MBLY141220C00043000,"2,019",(+81.60%),(+1625.60%),1.73,MBLY,+0.78
MAR 15 15 Put,"+2,017",RDEN150320P00015000,"2,017",(-10.00%),0.00%,0.68,RDEN,-0.07
DEC 14 23 Put,"+1,983",TSM141220P00023000,"2,004",(+16.70%),(+9442.90%),0.53,TSM,+0.08
JAN 16 270 Call,"+2,004",ACT160115C00270000,"2,004",(+4.00%),0.00%,30.15,ACT,+1.15
JAN 16 45 Put,"-3,497",YELP160115P00045000,"2,003",(+7.40%),(-63.60%),5.80,YELP,+0.40
FEB 15 25 Put,"+1,995",TMUS150220P00025000,"2,000",(-15.60%),(+39900.00%),0.57,TMUS,-0.10
DEC 14 25 Call,"+1,349",TASR141220C00025000,"1,904",(+106.70%),(+243.10%),0.78,TASR,+0.40
JAN 15 28 Put,"+1,842",EWG150117P00028000,"1,864",(-10.00%),(+8372.70%),0.45,EWG,-0.05
JAN 15 42.5 Call,+916,KMI150117C00042500,"1,850",(-11.30%),(+98.10%),0.95,KMI,-0.12
MAR 15 80 Put,"+1,205",FXY150320P00080000,"1,806",(-7.90%),(+200.50%),1.45,FXY,-0.13
JAN 15 50 Put,"+1,557",VLO150117P00050000,"1,791",(+0.70%),(+665.40%),1.42,VLO,+0.01
JAN 15 30 Put,"+1,271",MS150117P00030000,"1,772",(-33.30%),(+253.70%),0.05,MS,-0.03
JAN 15 65 Put,"+2,302",SWKS150117P00065000,"2,320",(-35.20%),(+12788.90%),1.75,SWKS,-0.95
JAN 15 30 Call,"+2,520",STRZA150117C00030000,"2,540",(-77.60%),(+12600.00%),0.85,STRZA,-2.95
APR 15 75 Call,"+5,541",LLY150417C00075000,"5,585",(+30.10%),(+12593.20%),1.60,LLY,+0.37
JAN 16 25 Call,+754,INTC160115C00025000,760,(-1.90%),(+12566.70%),12.75,INTC,-0.25
FEB 15 110 Put,"+1,005",IWM150220P00110000,"1,013",(+4.50%),(+12562.50%),2.08,IWM,+0.09
JAN 15 60 Call,"+2,202",XOP150117C00060000,"2,220",(-44.90%),(+12233.30%),0.27,XOP,-0.22
DEC 14 43 Call,"+5,688",CCL141220C00043000,"5,735",(+20.80%),(+12102.10%),1.45,CCL,+0.25
DEC 14 104 Put,"+1,194",NSC141220P00104000,"1,204",(+150.00%),(+11940.00%),1.25,NSC,+0.75
DEC 14 47 Put,"+1,529",LVLT141220P00047000,"1,542",0.00%,(+11761.50%),0.60,LVLT,0.00
DEC 14 75 Call,"+4,673",DOV141220C00075000,"4,713",(-29.00%),(+11682.50%),2.20,DOV,-0.90
DEC 14 85 Put,+694,LRCX141220P00085000,700,(-4.10%),(+11566.70%),2.35,LRCX,-0.10
MAY 15 85 Call,+798,PSX150515C00085000,805,(-31.70%),(+11400.00%),2.05,PSX,-0.95
DEC 14 90 Call,+679,EQT141220C00090000,685,(-37.50%),(+11316.70%),1.75,EQT,-1.05
JAN 15 15 Call,"+2,375",SLV150117C00015000,"2,396",(+3.50%),(+11309.50%),1.19,SLV,+0.04
JAN 15 19 Put,"+16,150",CHK150117P00019000,"16,293",(+21.80%),(+11293.70%),1.06,CHK,+0.19
DEC 14 47.5 Call,"+4,871",LULU141220C00047500,"4,915",(+9.20%),(+11070.50%),1.89,LULU,+0.16
JAN 16 42 Call,-22,FOXA160115C00042000,36,(+5.30%),(-37.90%),1.98,FOXA,+0.10
JAN 15 50 Call,"+4,886",VZ150117C00050000,"5,901",0.00%,(+481.40%),0.42,VZ,0.00
APR 15 100 Call,+401,DIS150417C00100000,497,(-2.50%),(+417.70%),1.37,DIS,-0.03
JAN 15 30 Call,+35,AGO150117C00030000,35,0.00%,0.00%,0.07,AGO,0.00
JAN 15 42.5 Put,-22,AFSI150117P00042500,41,(-7.10%),(-34.90%),2.28,AFSI,-0.18
JAN 15 62.5 Call,-31,CBS150117C00062500,12,(-25.00%),(-72.10%),0.15,CBS,-0.05
JAN 15 130 Call,-122,BABA150117C00130000,374,(-29.40%),(-24.60%),0.60,BABA,-0.25
JAN 15 20 Call,"-2,393",GDX150117C00020000,391,(-17.00%),(-86.00%),0.81,GDX,-0.17
JAN 15 70 Call,"+13,999",WAG150117C00070000,"14,521",(+23.00%),(+2681.80%),1.37,WAG,+0.26
JAN 15 85 Call,"+10,541",WMT150117C00085000,"11,405",(-6.50%),(+1220.00%),1.58,WMT,-0.11
JAN 15 15 Put,"-4,114",RIG150117P00015000,235,(+18.30%),(-94.60%),0.49,RIG,+0.07
JAN 15 100 Put,-29,GLD150117P00100000,40,0.00%,(-42.00%),0.21,GLD,0.00
JAN 15 60 Call,+227,EBAY150117C00060000,347,(-10.90%),(+189.20%),0.21,EBAY,-0.02
JAN 15 30 Call,+315,BX150117C00030000,452,(+15.00%),(+229.90%),3.83,BX,+0.50
JAN 15 72 Call,"+2,509",XLY150117C00072000,"2,550",(-7.10%),(+6119.50%),0.86,XLY,-0.06
JUN 15 13 Call,"-28,209",SPLS150619C00013000,"31,827",(-5.00%),(-47.00%),1.90,SPLS,-0.10
JAN 15 40 Call,-386,MDLZ150117C00040000,22,(-18.00%),(-94.60%),0.37,MDLZ,-0.08
JAN 15 23 Call,+938,P150117C00023000,970,(-36.10%),(+2931.30%),0.23,P,-0.13
JAN 15 40 Put,+141,RIO150117P00040000,141,(+33.30%),0.00%,0.40,RIO,+0.10
FEB 15 30 Call,-816,TMUS150220C00030000,40,(+1.80%),(-95.30%),1.12,TMUS,+0.02
JAN 15 49 Call,+50,IP150117C00049000,50,(+9.00%),0.00%,6.07,IP,+0.50
DEC 14 30 Call,+11,HPT141220C00030000,14,(+19.40%),(+366.70%),0.93,HPT,+0.15
JAN 15 105 Call,-842,CAT150117C00105000,454,(-13.70%),(-65.00%),1.01,CAT,-0.16
